region,marginal_price,total_demand,planning_year,model,case,scenario,configuration,child_scenario
BASN,41.1,104415840.0,2027.0,GenX,full-base-200,base,base,carbon_price
CASO,43.4,106247405.0,2027.0,GenX,full-base-200,base,base,carbon_price
CANO,44.8,164112380.0,2027.0,GenX,full-base-200,base,base,carbon_price
FRCC,41.9,254835658.0,2027.0,GenX,full-base-200,base,base,carbon_price
ISNE,52.0,132079030.0,2027.0,GenX,full-base-200,base,base,carbon_price
MISC,41.8,186790489.0,2027.0,GenX,full-base-200,base,base,carbon_price
MISE,45.0,102056388.0,2027.0,GenX,full-base-200,base,base,carbon_price
MISS,40.2,175440371.0,2027.0,GenX,full-base-200,base,base,carbon_price
MISW,39.3,225553160.0,2027.0,GenX,full-base-200,base,base,carbon_price
NWPP,41.5,195981047.0,2027.0,GenX,full-base-200,base,base,carbon_price
NYCW,53.2,76993625.0,2027.0,GenX,full-base-200,base,base,carbon_price
NYUP,34.9,70257166.0,2027.0,GenX,full-base-200,base,base,carbon_price
PJMC,40.7,118765758.0,2027.0,GenX,full-base-200,base,base,carbon_price
PJMD,44.7,110841999.0,2027.0,GenX,full-base-200,base,base,carbon_price
PJME,41.0,289082184.0,2027.0,GenX,full-base-200,base,base,carbon_price
PJMW,42.7,310165370.0,2027.0,GenX,full-base-200,base,base,carbon_price
RMRG,37.0,88883482.0,2027.0,GenX,full-base-200,base,base,carbon_price
SPPC,38.9,78239307.0,2027.0,GenX,full-base-200,base,base,carbon_price
SPPN,36.8,49626459.0,2027.0,GenX,full-base-200,base,base,carbon_price
SPPS,36.3,122178131.0,2027.0,GenX,full-base-200,base,base,carbon_price
SRCA,45.6,218636717.0,2027.0,GenX,full-base-200,base,base,carbon_price
SRCE,41.6,214888614.0,2027.0,GenX,full-base-200,base,base,carbon_price
SRSE,42.8,242597067.0,2027.0,GenX,full-base-200,base,base,carbon_price
SRSG,41.2,137828950.0,2027.0,GenX,full-base-200,base,base,carbon_price
TRE,37.0,426645124.0,2027.0,GenX,full-base-200,base,base,carbon_price
TREW,33.2,19988250.0,2027.0,GenX,full-base-200,base,base,carbon_price
BASN,66.3,117622650.0,2030.0,GenX,full-base-200,base,base,carbon_price
CASO,70.8,115510879.0,2030.0,GenX,full-base-200,base,base,carbon_price
CANO,73.7,178550343.0,2030.0,GenX,full-base-200,base,base,carbon_price
FRCC,71.3,263664150.0,2030.0,GenX,full-base-200,base,base,carbon_price
ISNE,91.5,149354094.0,2030.0,GenX,full-base-200,base,base,carbon_price
MISC,66.1,200796305.0,2030.0,GenX,full-base-200,base,base,carbon_price
MISE,72.4,108618551.0,2030.0,GenX,full-base-200,base,base,carbon_price
MISS,64.9,185407544.0,2030.0,GenX,full-base-200,base,base,carbon_price
MISW,63.8,244560055.0,2030.0,GenX,full-base-200,base,base,carbon_price
NWPP,60.4,213747716.0,2030.0,GenX,full-base-200,base,base,carbon_price
NYCW,97.6,83015898.0,2030.0,GenX,full-base-200,base,base,carbon_price
NYUP,73.4,74762455.0,2030.0,GenX,full-base-200,base,base,carbon_price
PJMC,68.5,125041636.0,2030.0,GenX,full-base-200,base,base,carbon_price
PJMD,79.8,116835353.0,2030.0,GenX,full-base-200,base,base,carbon_price
PJME,84.6,308414943.0,2030.0,GenX,full-base-200,base,base,carbon_price
PJMW,70.1,328889729.0,2030.0,GenX,full-base-200,base,base,carbon_price
RMRG,54.4,100288099.0,2030.0,GenX,full-base-200,base,base,carbon_price
SPPC,60.3,83557695.0,2030.0,GenX,full-base-200,base,base,carbon_price
SPPN,58.3,54220969.0,2030.0,GenX,full-base-200,base,base,carbon_price
SPPS,57.2,131322851.0,2030.0,GenX,full-base-200,base,base,carbon_price
SRCA,73.9,228687588.0,2030.0,GenX,full-base-200,base,base,carbon_price
SRCE,66.6,225061849.0,2030.0,GenX,full-base-200,base,base,carbon_price
SRSE,71.6,255962582.0,2030.0,GenX,full-base-200,base,base,carbon_price
SRSG,64.8,147664933.0,2030.0,GenX,full-base-200,base,base,carbon_price
TRE,60.9,442846698.0,2030.0,GenX,full-base-200,base,base,carbon_price
TREW,55.2,20819394.0,2030.0,GenX,full-base-200,base,base,carbon_price
BASN,57.6,154373402.0,2035.0,GenX,full-base-200,base,base,carbon_price
CASO,60.8,141559023.0,2035.0,GenX,full-base-200,base,base,carbon_price
CANO,63.4,219102255.0,2035.0,GenX,full-base-200,base,base,carbon_price
FRCC,62.1,305390926.0,2035.0,GenX,full-base-200,base,base,carbon_price
ISNE,91.3,185912448.0,2035.0,GenX,full-base-200,base,base,carbon_price
MISC,54.6,243790194.0,2035.0,GenX,full-base-200,base,base,carbon_price
MISE,60.1,126030936.0,2035.0,GenX,full-base-200,base,base,carbon_price
MISS,54.6,223677305.0,2035.0,GenX,full-base-200,base,base,carbon_price
MISW,53.5,294141188.0,2035.0,GenX,full-base-200,base,base,carbon_price
NWPP,54.4,260888430.0,2035.0,GenX,full-base-200,base,base,carbon_price
NYCW,84.5,97972883.0,2035.0,GenX,full-base-200,base,base,carbon_price
NYUP,66.5,85901025.0,2035.0,GenX,full-base-200,base,base,carbon_price
PJMC,57.2,142659266.0,2035.0,GenX,full-base-200,base,base,carbon_price
PJMD,68.1,134294097.0,2035.0,GenX,full-base-200,base,base,carbon_price
PJME,72.4,361596414.0,2035.0,GenX,full-base-200,base,base,carbon_price
PJMW,58.0,381430632.0,2035.0,GenX,full-base-200,base,base,carbon_price
RMRG,47.6,129535560.0,2035.0,GenX,full-base-200,base,base,carbon_price
SPPC,51.1,101870818.0,2035.0,GenX,full-base-200,base,base,carbon_price
SPPN,49.2,67540119.0,2035.0,GenX,full-base-200,base,base,carbon_price
SPPS,48.4,162787259.0,2035.0,GenX,full-base-200,base,base,carbon_price
SRCA,62.9,263347390.0,2035.0,GenX,full-base-200,base,base,carbon_price
SRCE,56.2,264512199.0,2035.0,GenX,full-base-200,base,base,carbon_price
SRSE,60.8,303257618.0,2035.0,GenX,full-base-200,base,base,carbon_price
SRSG,57.5,183293864.0,2035.0,GenX,full-base-200,base,base,carbon_price
TRE,51.0,515960435.0,2035.0,GenX,full-base-200,base,base,carbon_price
TREW,45.9,24676479.0,2035.0,GenX,full-base-200,base,base,carbon_price
BASN,56.9,177158138.0,2040.0,GenX,full-base-200,base,base,carbon_price
CASO,58.6,158791938.0,2040.0,GenX,full-base-200,base,base,carbon_price
CANO,61.8,245898072.0,2040.0,GenX,full-base-200,base,base,carbon_price
FRCC,57.8,334048179.0,2040.0,GenX,full-base-200,base,base,carbon_price
ISNE,89.4,210413923.0,2040.0,GenX,full-base-200,base,base,carbon_price
MISC,50.7,264171318.0,2040.0,GenX,full-base-200,base,base,carbon_price
MISE,55.8,137137308.0,2040.0,GenX,full-base-200,base,base,carbon_price
MISS,51.0,242486982.0,2040.0,GenX,full-base-200,base,base,carbon_price
MISW,50.6,324181570.0,2040.0,GenX,full-base-200,base,base,carbon_price
NWPP,57.8,300529644.0,2040.0,GenX,full-base-200,base,base,carbon_price
NYCW,81.6,106442119.0,2040.0,GenX,full-base-200,base,base,carbon_price
NYUP,64.1,92400602.0,2040.0,GenX,full-base-200,base,base,carbon_price
PJMC,53.9,152682741.0,2040.0,GenX,full-base-200,base,base,carbon_price
PJMD,64.1,145712440.0,2040.0,GenX,full-base-200,base,base,carbon_price
PJME,68.0,389826566.0,2040.0,GenX,full-base-200,base,base,carbon_price
PJMW,54.2,412215498.0,2040.0,GenX,full-base-200,base,base,carbon_price
RMRG,46.9,150676430.0,2040.0,GenX,full-base-200,base,base,carbon_price
SPPC,47.6,108907378.0,2040.0,GenX,full-base-200,base,base,carbon_price
SPPN,46.1,74985567.0,2040.0,GenX,full-base-200,base,base,carbon_price
SPPS,45.0,177543457.0,2040.0,GenX,full-base-200,base,base,carbon_price
SRCA,58.7,287884867.0,2040.0,GenX,full-base-200,base,base,carbon_price
SRCE,52.8,285639456.0,2040.0,GenX,full-base-200,base,base,carbon_price
SRSE,56.9,333542368.0,2040.0,GenX,full-base-200,base,base,carbon_price
SRSG,54.4,204888767.0,2040.0,GenX,full-base-200,base,base,carbon_price
TRE,47.3,555402906.0,2040.0,GenX,full-base-200,base,base,carbon_price
TREW,42.9,26667903.0,2040.0,GenX,full-base-200,base,base,carbon_price
BASN,56.4,205854891.0,2045.0,GenX,full-base-200,base,base,carbon_price
CASO,57.6,185445572.0,2045.0,GenX,full-base-200,base,base,carbon_price
CANO,61.6,287331528.0,2045.0,GenX,full-base-200,base,base,carbon_price
FRCC,57.0,373487472.0,2045.0,GenX,full-base-200,base,base,carbon_price
ISNE,88.5,228967778.0,2045.0,GenX,full-base-200,base,base,carbon_price
MISC,50.5,296003389.0,2045.0,GenX,full-base-200,base,base,carbon_price
MISE,55.6,149857318.0,2045.0,GenX,full-base-200,base,base,carbon_price
MISS,50.8,273572998.0,2045.0,GenX,full-base-200,base,base,carbon_price
MISW,51.1,360803886.0,2045.0,GenX,full-base-200,base,base,carbon_price
NWPP,71.6,342473432.0,2045.0,GenX,full-base-200,base,base,carbon_price
NYCW,82.4,116580170.0,2045.0,GenX,full-base-200,base,base,carbon_price
NYUP,63.3,100244191.0,2045.0,GenX,full-base-200,base,base,carbon_price
PJMC,53.8,165669492.0,2045.0,GenX,full-base-200,base,base,carbon_price
PJMD,64.7,160553816.0,2045.0,GenX,full-base-200,base,base,carbon_price
PJME,67.4,428793884.0,2045.0,GenX,full-base-200,base,base,carbon_price
PJMW,52.9,452703049.0,2045.0,GenX,full-base-200,base,base,carbon_price
RMRG,47.3,173002995.0,2045.0,GenX,full-base-200,base,base,carbon_price
SPPC,47.9,122568997.0,2045.0,GenX,full-base-200,base,base,carbon_price
SPPN,45.9,85125345.0,2045.0,GenX,full-base-200,base,base,carbon_price
SPPS,44.4,202777705.0,2045.0,GenX,full-base-200,base,base,carbon_price
SRCA,59.4,320053848.0,2045.0,GenX,full-base-200,base,base,carbon_price
SRCE,52.8,318246408.0,2045.0,GenX,full-base-200,base,base,carbon_price
SRSE,55.9,375702387.0,2045.0,GenX,full-base-200,base,base,carbon_price
SRSG,53.5,237915030.0,2045.0,GenX,full-base-200,base,base,carbon_price
TRE,46.6,617229009.0,2045.0,GenX,full-base-200,base,base,carbon_price
TREW,42.2,29860335.0,2045.0,GenX,full-base-200,base,base,carbon_price
BASN,54.5,223174656.0,2050.0,GenX,full-base-200,base,base,carbon_price
CASO,55.9,199559149.0,2050.0,GenX,full-base-200,base,base,carbon_price
CANO,58.7,309235468.0,2050.0,GenX,full-base-200,base,base,carbon_price
FRCC,55.2,398150391.0,2050.0,GenX,full-base-200,base,base,carbon_price
ISNE,83.6,233966756.0,2050.0,GenX,full-base-200,base,base,carbon_price
MISC,49.7,302266317.0,2050.0,GenX,full-base-200,base,base,carbon_price
