ESR_6,ESR_3,ESR_5,ESR_1,ESR_2,ESR_4,Resource
0,0,0,1,1,0,NENG_Rest_biomass_1
0,0,0,1,1,0,NENG_Rest_biomass_2
0,0,0,1,1,0,NENG_Rest_biomass_3
0,0,0,0,1,0,NENG_Rest_conventional_hydroelectric_1
0,0,0,0,1,0,NENG_Rest_nuclear_1
0,0,0,1,1,0,NENG_Rest_offshore_wind_turbine_1
0,0,0,1,1,0,NENG_Rest_onshore_wind_turbine_1
0,0,0,1,1,0,NENG_Rest_small_hydroelectric_1
0,0,0,1,1,0,NENG_Rest_solar_photovoltaic_1
1,0,1,0,0,0,NY_Z_A_biomass_1
1,0,1,0,0,0,NY_Z_A_conventional_hydroelectric_1
1,0,1,0,0,0,NY_Z_A_onshore_wind_turbine_1
1,0,1,0,0,0,NY_Z_A_small_hydroelectric_1
1,0,1,0,0,0,NY_Z_A_solar_photovoltaic_1
1,0,1,0,0,0,NY_Z_B_biomass_1
1,0,1,0,0,0,NY_Z_B_conventional_hydroelectric_1
1,0,0,0,0,0,NY_Z_B_nuclear_1
1,0,1,0,0,0,NY_Z_B_onshore_wind_turbine_1
1,0,1,0,0,0,NY_Z_B_small_hydroelectric_1
1,0,1,0,0,0,NY_Z_B_solar_photovoltaic_1
1,0,1,0,0,0,NY_Z_C&E_biomass_1
1,0,1,0,0,0,NY_Z_C&E_conventional_hydroelectric_1
1,0,0,0,0,0,NY_Z_C&E_nuclear_1
1,0,1,0,0,0,NY_Z_C&E_onshore_wind_turbine_1
1,0,1,0,0,0,NY_Z_C&E_small_hydroelectric_1
1,0,1,0,0,0,NY_Z_C&E_solar_photovoltaic_1
1,0,1,0,0,0,NY_Z_D_conventional_hydroelectric_1
1,0,1,0,0,0,NY_Z_D_onshore_wind_turbine_1
1,0,1,0,0,0,NY_Z_D_small_hydroelectric_1
1,0,1,0,0,0,NY_Z_D_solar_photovoltaic_1
1,0,1,0,0,0,NY_Z_F_conventional_hydroelectric_1
1,0,1,0,0,0,NY_Z_F_small_hydroelectric_1
1,0,1,0,0,0,NY_Z_F_solar_photovoltaic_1
1,0,1,0,0,0,NY_Z_G-I_small_hydroelectric_1
1,0,1,0,0,0,NY_Z_G-I_solar_photovoltaic_1
0,1,0,0,0,1,PJM_EMAC_biomass_1
0,0,0,0,0,1,PJM_EMAC_conventional_hydroelectric_1
0,0,0,0,0,1,PJM_EMAC_nuclear_1
0,0,0,0,0,1,PJM_EMAC_nuclear_2
0,1,0,0,0,1,PJM_EMAC_small_hydroelectric_1
0,1,0,0,0,1,PJM_EMAC_solar_photovoltaic_1
0,1,0,0,0,1,PJM_Rest_biomass_1
0,1,0,0,0,1,PJM_Rest_biomass_2
0,0,0,0,0,1,PJM_Rest_conventional_hydroelectric_1
0,0,0,0,0,1,PJM_Rest_nuclear_1
0,1,0,0,0,1,PJM_Rest_onshore_wind_turbine_1
0,1,0,0,0,1,PJM_Rest_small_hydroelectric_1
0,1,0,0,0,1,PJM_Rest_solar_photovoltaic_1
0,0,0,0,1,0,NENG_Rest_nuclear_nuclear_moderate_0
0,0,0,0,1,0,NENG_Rest_naturalgas_ccs100_moderate_0
0,0,0,1,1,0,NENG_Rest_offshorewind_class3_advanced_fixed_1_0
0,0,0,1,1,0,NENG_Rest_offshorewind_class3_advanced_fixed_1_1
0,0,0,1,1,0,NENG_Rest_offshorewind_class3_advanced_fixed_1_2
0,0,0,1,1,0,NENG_Rest_offshorewind_class3_advanced_fixed_1_3
0,0,0,1,1,0,NENG_Rest_offshorewind_class3_advanced_fixed_1_4
0,0,0,1,1,0,NENG_Rest_offshorewind_class3_advanced_fixed_1_5
0,0,0,1,1,0,NENG_Rest_offshorewind_class3_advanced_fixed_0_0
0,0,0,1,1,0,NENG_Rest_offshorewind_class3_advanced_fixed_0_1
0,0,0,1,1,0,NENG_Rest_offshorewind_class3_advanced_fixed_0_2
0,0,0,1,1,0,NENG_Rest_offshorewind_class3_advanced_fixed_0_3
