Time,Weight
1,27.0
2,27.0
3,27.0
4,27.0
5,27.0
6,27.0
7,27.0
8,27.0
9,27.0
10,27.0
11,27.0
12,27.0
13,27.0
14,27.0
15,27.0
16,27.0
17,27.0
18,27.0
19,27.0
20,27.0
21,27.0
22,27.0
23,27.0
24,27.0
25,27.0
26,27.0
27,27.0
28,27.0
29,27.0
30,27.0
31,27.0
32,27.0
33,27.0
34,27.0
35,27.0
36,27.0
37,27.0
38,27.0
39,27.0
40,27.0
41,27.0
42,27.0
43,27.0
44,27.0
45,27.0
46,27.0
47,27.0
48,27.0
49,27.0
50,27.0
51,27.0
52,27.0
53,27.0
54,27.0
55,27.0
56,27.0
57,27.0
58,27.0
59,27.0
60,27.0
61,27.0
62,27.0
63,27.0
64,27.0
65,27.0
66,27.0
67,27.0
68,27.0
69,27.0
70,27.0
71,27.0
72,27.0
73,27.0
74,27.0
75,27.0
76,27.0
77,27.0
78,27.0
79,27.0
80,27.0
81,27.0
82,27.0
83,27.0
84,27.0
85,27.0
86,27.0
87,27.0
88,27.0
89,27.0
90,27.0
91,27.0
92,27.0
93,27.0
94,27.0
95,27.0
96,27.0
97,36.0
98,36.0
99,36.0
100,36.0
101,36.0
102,36.0
103,36.0
104,36.0
105,36.0
106,36.0
107,36.0
108,36.0
109,36.0
110,36.0
111,36.0
112,36.0
113,36.0
114,36.0
115,36.0
116,36.0
117,36.0
118,36.0
119,36.0
120,36.0
121,36.0
122,36.0
123,36.0
124,36.0
125,36.0
126,36.0
127,36.0
128,36.0
129,36.0
130,36.0
131,36.0
132,36.0
133,36.0
134,36.0
135,36.0
136,36.0
137,36.0
138,36.0
139,36.0
140,36.0
141,36.0
142,36.0
143,36.0
144,36.0
145,36.0
146,36.0
147,36.0
148,36.0
149,36.0
150,36.0
151,36.0
152,36.0
153,36.0
154,36.0
155,36.0
156,36.0
157,36.0
158,36.0
159,36.0
160,36.0
161,36.0
162,36.0
163,36.0
164,36.0
165,36.0
166,36.0
167,36.0
168,36.0
169,36.0
170,36.0
171,36.0
172,36.0
173,36.0
174,36.0
175,36.0
176,36.0
177,36.0
178,36.0
179,36.0
180,36.0
181,36.0
182,36.0
183,36.0
184,36.0
185,36.0
186,36.0
187,36.0
188,36.0
189,36.0
190,36.0
191,36.0
192,36.0
193,27.0
194,27.0
195,27.0
196,27.0
197,27.0
198,27.0
199,27.0
200,27.0
201,27.0
202,27.0
203,27.0
204,27.0
205,27.0
206,27.0
207,27.0
208,27.0
209,27.0
210,27.0
211,27.0
212,27.0
213,27.0
214,27.0
215,27.0
216,27.0
217,27.0
218,27.0
219,27.0
220,27.0
221,27.0
222,27.0
223,27.0
224,27.0
225,27.0
226,27.0
227,27.0
228,27.0
229,27.0
230,27.0
231,27.0
232,27.0
233,27.0
234,27.0
235,27.0
236,27.0
237,27.0
238,27.0
239,27.0
240,27.0
241,27.0
242,27.0
243,27.0
244,27.0
245,27.0
246,27.0
247,27.0
248,27.0
249,27.0
250,27.0
251,27.0
252,27.0
253,27.0
254,27.0
255,27.0
256,27.0
257,27.0
258,27.0
259,27.0
260,27.0
261,27.0
262,27.0
263,27.0
264,27.0
265,27.0
266,27.0
267,27.0
268,27.0
269,27.0
270,27.0
271,27.0
272,27.0
273,27.0
274,27.0
275,27.0
276,27.0
277,27.0
278,27.0
279,27.0
280,27.0
281,27.0
282,27.0
283,27.0
284,27.0
285,27.0
286,27.0
287,27.0
288,27.0
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,1.0
315,1.0
316,1.0
317,1.0
318,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,1.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,1.0
365,1.0
366,1.0
367,1.0
368,1.0
369,1.0
370,1.0
371,1.0
372,1.0
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
