start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,dollar_year,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw
TRE,TRE_WEST,503805.6427415284,24403.854237022915,0.0351773139648437,301864,301162,2018,472.1787155501885,271718.0809329405,,0.021446431902812348,,222.80324910844055,,775523.7236744689,0.05662374586765605,694.9819646586291,37565.61321329746
TRE,SPPS,333984.62164559326,16177.889512499629,0.0207483273010253,149640,303537,2018,278.50104602052505,271718.0809329405,,0.021446431902812348,,222.80324910844055,,605702.7025785337,0.042194759203837646,501.3042951289656,29339.648488774164
TRE_WEST,SPPS,540914.2560497657,26201.35929310836,0.0338887463603764,301162,149221,2018,594.5912331781975,,,,,,,540914.2560497657,0.0338887463603764,594.5912331781975,26201.35929310836
FRCC,SRSE,549722.5572487696,26628.02481707225,0.0275403341674804,151978,116001,2018,483.1637802864804,316569.2541332656,397700.8759244141,0.03006967619358216,0.0195274735565185,185.42825201772382,262.1137443927329,1263992.6873064493,0.07713748391758106,930.705776696937,61226.57366407229
MISW,MISE,664893.304944834,32206.78356985115,0.0300628440166264,145780,144525,2018,527.4701294725842,661701.3008743897,331484.00868200685,0.0395358854037597,0.0208513991241455,530.7348480983455,279.8845596729041,1658078.6145012304,0.0904501285445316,1338.0895372438338,80315.71183209686
MISW,PJMC,145101.70894356997,7028.585339641572,0.0161304052352905,134713,144525,2018,46.64213562373099,661701.3008743897,,0.0395358854037597,,530.7348480983455,,806803.0098179597,0.055666290639050195,577.3769837220765,39080.75134380764
MISW,MISC,552292.3068477539,26752.50098271821,0.0348234398318603,144525,153313,2018,467.4805371126699,661701.3008743897,397036.40215175785,0.0395358854037597,0.0277312094394043,530.7348480983455,372.2827919510444,1611030.0098739015,0.1020905346750243,1370.4981771620598,78036.72328577423
MISW,SPPN,524417.9464852734,25402.29413800208,0.0275545841674804,131672,144556,2018,483.4137802864802,661701.3008743897,,0.0395358854037597,,530.7348480983455,,1186119.2473596632,0.0670904695712401,1014.1486283848258,57454.46014216815
MISW,SPPC,623416.3083102442,30197.678283630063,0.0378647827148437,117645,144556,2018,664.2944622496007,661701.3008743897,,0.0395358854037597,,530.7348480983455,,1285117.609184634,0.0774006681186034,1195.0293103479462,62249.84428779613
MISE,MISC,367309.43935854494,17792.11119830052,0.0254207241210937,143992,151162,2018,341.21782079358866,331484.00868200685,397036.40215175785,0.0208513991241455,0.0277312094394043,279.8845596729041,372.2827919510444,1095829.8501923096,0.0740033326846435,993.3851724175372,53080.92975527012
MISE,PJMW,318365.6441357422,15421.321466918416,0.0189420228729248,128336,152464,2018,254.25535700620117,331484.00868200685,301444.6340358522,0.0208513991241455,0.047772656734015956,279.8845596729041,138.1545781302855,951294.2868536012,0.08756607873108625,672.2944948093907,46079.7679568632
PJMC,MISC,272214.4978338013,13185.804927057226,0.0189171785507202,153373,153313,2018,253.92187924757036,,397036.40215175785,,0.0277312094394043,,372.2827919510444,669250.8999855592,0.046648387990124496,626.2046711986147,32417.861225947174
PJMC,PJMW,375839.12240766606,18205.28073067424,0.0258325962191894,113595,154107,2018,346.79803358706835,,301444.6340358522,,0.047772656734015956,,138.1545781302855,677283.7564435182,0.07360525295320536,484.9526117173539,32806.964962539365
MISC,SPPN,561821.3180701367,27214.076997684147,0.0311756184082031,131499,117940,2018,546.9406922210615,397036.40215175785,,0.0277312094394043,,372.2827919510444,,958857.7202218946,0.058906827847607396,919.2234841721058,46446.133296574095
MISC,SPPC,371606.3288640992,18000.248337447127,0.024118696072705,117394,117940,2018,323.7926765808675,397036.40215175785,,0.0277312094394043,,372.2827919510444,,768642.7310158571,0.0518499055121093,696.0754685319118,37232.304636337074
MISC,SPPS,673739.6398087988,32635.29140747148,0.0451420506816655,117940,149384,2018,792.0176400493893,397036.40215175785,,0.0277312094394043,,372.2827919510444,,1070776.0419605565,0.0728732601210698,1164.3004320004338,51867.34770636142
MISC,MISS,827570.7527441994,40086.72056726854,0.0604141124492436,117709,114308,2018,1059.9485745442043,397036.40215175785,,0.0277312094394043,,372.2827919510444,,1224607.154895957,0.0881453218886479,1432.2313664952487,59318.776866158485
MISC,PJMW,245399.8846300232,11886.93120169311,0.0436744543268655,113595,151162,2018,126.33935777509473,397036.40215175785,301444.6340358522,0.0277312094394043,0.047772656734015956,372.2827919510444,138.1545781302855,943880.9208176334,0.11917832050028576,636.7767278564246,45720.6717324482
MISC,SRCE,283457.1645063049,13730.388741597731,0.0515099518651142,125098,125325,2018,148.9962120245869,397036.40215175785,390900.1645700108,0.0277312094394043,0.02132743366233423,372.2827919510444,286.2998419914721,1071393.7312280736,0.10056859496685272,807.5788459671032,51897.26797237161
SPPN,SPPC,291992.25480129395,14143.82019569044,0.0194589098205566,117645,131499,2018,261.19343417595013,,,,,,,291992.25480129395,0.0194589098205566,261.19343417595013,14143.82019569044
SPPN,SPPS,600856.2091296876,29104.889070354937,0.0387272208251953,149035,131640,2018,679.4249275747745,,,,,,,600856.2091296876,0.0387272208251953,679.4249275747745,29104.889070354937
SPPC,SPPS,496495.5100813233,24049.7585367005,0.0338995643920898,118177,149384,2018,455.0277413171593,,,,,,,496495.5100813233,0.0338995643920898,455.0277413171593,24049.7585367005
SPPC,MISS,917622.1622635548,44448.72306448206,0.0720656594238281,117600,114308,2018,1264.309793619994,,,,,,,917622.1622635548,0.0720656594238281,1264.309793619994,44448.72306448206
SPPS,MISS,819821.6069705664,39711.35949967089,0.0617531393047124,112530,149640,2018,1083.4402589451677,,,,,,,819821.6069705664,0.0617531393047124,1083.4402589451677,39711.35949967089
SPPS,SRSG,901491.691518457,43667.37878517655,0.0792837019042968,149221,300626,2018,1390.9422612518476,,259107.8086176636,,0.0483159921010335,,139.70889244992054,1160599.5001361207,0.1275996940053303,1530.6511537017682,56218.30846268307
MISS,SRSE,640037.1396976856,31002.775154459177,0.0321269102783203,153516,150257,2018,563.6300320492815,,397700.8759244141,,0.0195274735565185,,262.1137443927329,1037738.0156220996,0.0516543838348388,825.7437764420143,50267.01791518386
MISS,SRCE,593875.9375136134,28766.77151746977,0.0355836276855468,112615,153534,2018,624.2741699796923,,390900.1645700108,,0.02132743366233423,,286.2998419914721,984776.1020836241,0.05691106134788103,910.5740119711643,47701.594449353695
SRSE,SRCA,471691.4483085205,22848.27396281664,0.0233156466827392,150303,133851,2018,312.961724139179,397700.8759244141,390443.1251374207,0.0195274735565185,0.0608255060831705,262.1137443927329,175.88098833543688,1259835.4493703553,0.10366862632242821,750.9564568673487,61025.201110821414
SRSE,SRCE,346847.5486692871,16800.957159061763,0.019413170349121,153461,148129,2018,260.5794731452714,397700.8759244141,390900.1645700108,0.0195274735565185,0.02132743366233423,262.1137443927329,286.2998419914721,1135448.589163712,0.060268077567973734,808.9930595294763,55000.02285167038
SRCA,PJMD,317554.2258533448,15382.017156269714,0.0192893204650878,115246,147032,2018,258.917045251632,390443.1251374207,225463.1402080607,0.0608255060831705,0.03127780652324641,175.88098833543688,90.45675800194127,933460.4911988262,0.11139263307150471,525.2547915890101,45215.91627929224
SRCA,PJMW,685653.1817941212,33212.371768212135,0.0334165700683593,115154,146390,2018,586.2556633785169,390443.1251374207,301444.6340358522,0.0608255060831705,0.047772656734015956,175.88098833543688,138.1545781302855,1377540.940967394,0.14201473288554575,900.2912298442393,66726.74038735735
SRCA,SRCE,701724.6083178418,33990.85600298899,0.0333496329570561,151756,129148,2018,585.1330803764861,390443.1251374207,390900.1645700108,0.0608255060831705,0.02132743366233423,175.88098833543688,286.2998419914721,1483067.8980252733,0.11550257270256081,1047.313910703395,71838.363322153
PJMD,PJMW,455623.5137273682,22069.958874333926,0.0197493101779296,122896,146390,2018,265.1431816442561,225463.1402080607,301444.6340358522,0.03127780652324641,0.047772656734015956,90.45675800194127,138.1545781302855,982531.2879712812,0.09879977343519197,493.7545177764829,47592.85784194151
