case_id,case_description
base,no_policies_net_zero
base_thin,no_policies_net_zero_thin
base_retrofit,no_policies_net_zero_h2_retrofits
cap_only_vre,no_policies_net_zero_thin_many_vre
unconstrained,no_policies
unconstrained_thin,no_policies_thin
unconstrained_vre,no_policies_thin_many_vre
base_thin_no_cap,no_policies_thin_no_cap
base_thin_high_slack,no_policies_thin_high_slack
base_thin_ramp,no_policies_net_zero_thin_ramp
base_thin_ramp_retire,no_policies_net_zero_thin_ramp_economic_retirement
base_thin_8760,no_policies_net_zero_thin_8760
base_conservative,base_eer_ira_conservative
base_full,base_full
base_short,base_short
base_short_no_ccs,base_short_no_ccs
base_short_current_policies,base_short_current_policies
